Component,Quantity,Price (USD),Link
Raspberry Pi Camera Module V3,1,55,https://www.ram-e-shop.com/ar/shop/rpi-v3-camera-raspberry-pi-camera-module-v3-official-12-mp-and-autofocus-imx708-official-8737
ESP32-WROOM Board,1,42,https://www.ram-e-shop.com/ar/shop/raspberry-pi-zero-2w-raspberry-pi-zero-2-w-9256
MPU6050 Gyroscope & Accelerometer,1,6,
SIM800L GSM Module with Antenna,1,12,https://www.amazon.com/SIM800L-Wireless-Extension-Antenna-Replacement/dp/B09BMQ3JDV
18650 Lithium Battery Pack + Charger,1,40,
Power Switch & JST Connectors,1,12,
3D-Printed Glasses Frame (ABS),1,25,
Jumper Wires & Breadboard,1,18,
USB to Serial Adapter,1,13,
Enclosure Foam Padding & Mounting Hardware,1,9,
High Quality Glass for HMD Front Panel,1,22,
Total,,254,
